checkpoint_N,k,a,b,branch,pure_even,pure_odd,empty
1258925,1296,4,4,4311,796,74,1674435
1258925,19683,0,9,4311,796,74,387415308
1584893,1,0,0,1,0,0,0
1584893,2,1,0,4,0,0,0
1584893,3,0,1,9,0,0,0
1584893,4,2,0,16,0,0,0
1584893,6,1,1,36,0,0,0
1584893,8,3,0,64,0,0,0
1584893,9,0,2,81,0,0,0
1584893,12,2,1,144,0,0,0
1584893,16,4,0,256,0,0,0
1584893,18,1,2,324,0,0,0
1584893,24,3,1,576,0,0,0
1584893,27,0,3,729,0,0,0
1584893,36,2,2,1296,0,0,0
1584893,48,4,1,2304,0,0,0
1584893,54,1,3,2916,0,0,0
1584893,72,3,2,4336,387,39,422
1584893,81,0,4,4550,660,76,1275
1584893,108,2,3,4551,824,77,6212
1584893,144,4,2,4551,824,77,15284
1584893,162,1,4,4551,824,77,20792
1584893,216,3,3,4551,824,77,41204
1584893,324,2,4,4551,824,77,99524
1584893,432,4,3,4551,824,77,181172
1584893,648,3,4,4551,824,77,414452
1584893,729,0,6,4551,824,77,525989
1584893,1296,4,4,4551,824,77,1674164
1584893,19683,0,9,4551,824,77,387415037
1995262,1,0,0,1,0,0,0
1995262,2,1,0,4,0,0,0
1995262,3,0,1,9,0,0,0
1995262,4,2,0,16,0,0,0
1995262,6,1,1,36,0,0,0
1995262,8,3,0,64,0,0,0
1995262,9,0,2,81,0,0,0
1995262,12,2,1,144,0,0,0
1995262,16,4,0,256,0,0,0
1995262,18,1,2,324,0,0,0
1995262,24,3,1,576,0,0,0
1995262,27,0,3,729,0,0,0
1995262,36,2,2,1296,0,0,0
1995262,48,4,1,2304,0,0,0
1995262,54,1,3,2916,0,0,0
1995262,72,3,2,4486,375,41,282
1995262,81,0,4,4786,622,75,1078
1995262,108,2,3,4791,861,84,5928
1995262,144,4,2,4791,861,84,15000
1995262,162,1,4,4791,861,84,20508
1995262,216,3,3,4791,861,84,40920
1995262,324,2,4,4791,861,84,99240
1995262,432,4,3,4791,861,84,180888
1995262,648,3,4,4791,861,84,414168
1995262,729,0,6,4791,861,84,525705
1995262,1296,4,4,4791,861,84,1673880
1995262,19683,0,9,4791,861,84,387414753
2511886,1,0,0,1,0,0,0
2511886,2,1,0,4,0,0,0
2511886,3,0,1,9,0,0,0
2511886,4,2,0,16,0,0,0
2511886,6,1,1,36,0,0,0
2511886,8,3,0,64,0,0,0
2511886,9,0,2,81,0,0,0
2511886,12,2,1,144,0,0,0
2511886,16,4,0,256,0,0,0
2511886,18,1,2,324,0,0,0
2511886,24,3,1,576,0,0,0
2511886,27,0,3,729,0,0,0
2511886,36,2,2,1296,0,0,0
2511886,48,4,1,2304,0,0,0
2511886,54,1,3,2916,0,0,0
2511886,72,3,2,4586,334,30,234
2511886,81,0,4,4947,552,55,1007
2511886,108,2,3,4972,832,64,5796
2511886,144,4,2,4972,832,64,14868
2511886,162,1,4,4972,832,64,20376
2511886,216,3,3,4972,832,64,40788
2511886,324,2,4,4972,832,64,99108
2511886,432,4,3,4972,832,64,180756
2511886,648,3,4,4972,832,64,414036
2511886,729,0,6,4972,832,64,525573
2511886,1296,4,4,4972,832,64,1673748
2511886,19683,0,9,4972,832,64,387414621
3162278,1,0,0,1,0,0,0
3162278,2,1,0,4,0,0,0
3162278,3,0,1,9,0,0,0
3162278,4,2,0,16,0,0,0
3162278,6,1,1,36,0,0,0
3162278,8,3,0,64,0,0,0
3162278,9,0,2,81,0,0,0
3162278,12,2,1,144,0,0,0
3162278,16,4,0,256,0,0,0
3162278,18,1,2,324,0,0,0
3162278,24,3,1,576,0,0,0
3162278,27,0,3,729,0,0,0
3162278,36,2,2,1296,0,0,0
3162278,48,4,1,2304,0,0,0
3162278,54,1,3,2916,0,0,0
3162278,72,3,2,4727,260,12,185
3162278,81,0,4,5169,459,33,900
3162278,108,2,3,5236,807,44,5577
3162278,144,4,2,5236,807,44,14649
3162278,162,1,4,5236,807,44,20157
3162278,216,3,3,5236,807,44,40569
3162278,324,2,4,5236,807,44,98889
3162278,432,4,3,5236,807,44,180537
3162278,648,3,4,5236,807,44,413817
3162278,729,0,6,5236,807,44,525354
3162278,1296,4,4,5236,807,44,1673529
3162278,19683,0,9,5236,807,44,387414402
3981072,1,0,0,1,0,0,0
3981072,2,1,0,4,0,0,0
3981072,3,0,1,9,0,0,0
3981072,4,2,0,16,0,0,0
3981072,6,1,1,36,0,0,0
3981072,8,3,0,64,0,0,0
3981072,9,0,2,81,0,0,0
3981072,12,2,1,144,0,0,0
3981072,16,4,0,256,0,0,0
3981072,18,1,2,324,0,0,0
3981072,24,3,1,576,0,0,0
3981072,27,0,3,729,0,0,0
3981072,36,2,2,1296,0,0,0
3981072,48,4,1,2304,0,0,0
3981072,54,1,3,2916,0,0,0
3981072,72,3,2,4827,234,16,107
3981072,81,0,4,5320,450,47,744
3981072,108,2,3,5432,843,58,5331
3981072,144,4,2,5432,843,58,14403
3981072,162,1,4,5432,843,58,19911
3981072,216,3,3,5432,843,58,40323
3981072,324,2,4,5432,843,58,98643
3981072,432,4,3,5432,843,58,180291
3981072,648,3,4,5432,843,58,413571
3981072,729,0,6,5432,843,58,525108
3981072,1296,4,4,5432,843,58,1673283
3981072,19683,0,9,5432,843,58,387414156
5011872,1,0,0,1,0,0,0
5011872,2,1,0,4,0,0,0
5011872,3,0,1,9,0,0,0
5011872,4,2,0,16,0,0,0
5011872,6,1,1,36,0,0,0
5011872,8,3,0,64,0,0,0
